ID,cue,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122,word 123,word 124,word 125,word 126,word 127,word 128,word 129,word 130,word 131,word 132,word 133,word 134,word 135,word 136,word 137,word 138,word 139,word 140,word 141,word 142,word 143,word 144,word 145
2000,body,dead,girl,water,head,fish,cold,spring,river,decent,family,man,women,church,song,pew,preach,gospel,sit,tire,flat,drive,winding,road,fall,leaves,mountains,trees,rocks,animals,birds,fly,nest,cones,den,bear,path,sound,bell,sheep,dog,grass,herd,good,command,duck,roast,vegetable,rice,pasta,noddles,soda,garden,hose,pests,fence,dig,hole,plant,sun,grow,beds,cabin,cot,fire,axe,picnic,table,table,cloth,checkered,basket,ants,salad,chicken,steak,pork,roll,turkey,pot,pig,tail,mali,mail,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,body,part,whole,pie,peach,fruit,sweet,eat,fork,metal,silver,bullet,gun,shoot,fast,zoom,car,race,run,speed,ticket,paper,write,pen,ink,black,color,crayon,melt,candle,drip,coffee,grounds,keeper,holder,mail,letter,alphabet,teach,school,learn,children,precious,jewels,gems,diamond,clear,water,wet,rain,cloud,white,pure,innocent,naive,dumb,thought,mind,brain,matter,crucial,important,person,man,husband,love,anniversary,date,movie,watch,enjoy,happy,smile,mouth,teeth,clean,brush,stroke,wipe,tissue,soft,fuzzy,warm,sweater,button,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,water,pond,creek,river,lake,glacier,mountain,peak,summit,ascend,climb,ladder,rope,noose,goose,duck,bird,wings,fly,glide,slide,playground,park,grass,green,red,orange,fruit,apple,seed,johnny,carson,clyde,drexler,trailblazer,basketball,spalding,balding,ageing,old,young,immature,childish,gambino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,water,creek,stream,river,valley,trees,pine,timber,lumber,sawmill,machinery,factory,work,labor,construction,summer,heat,fishing,rod,reel,line,sinker,harbor,jetty,pier,sea,beach,sand,towel,swim,togs,changing,shower,soap,water,cool,shade,rest,sleep,bed,pillow,sheets,tangled,cord,cables,pylons,steel,father,son,school,math,learning,university,library,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,body,arms,legs,feet,hands,head,torso,fingers,toes,head,hair,eyes,nose,mouth,teeth,chew,food,swallow,digest,dinner,supper,lunch,breakfast,morning,awake,sunshine,alarm,rise,bed,sleep,pillow,blanket,comfy,cozy,bedtime,television,watch,entertainment,movies,theater,popcorn,soda,candy,fun,sunday,relax,enjoy,family,children,grandchildren,husband,love,grateful,appreciate,lucky,jackpot,lottery,winning,bet,wager,poker,casino,vegas,curious,travel,airplane,hotel,vacation,beach,ocean,waves,sand,pool,sunscreen,flip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,body,muscle,strength,workout,active,physical,weak,tired,rest,sleep,relax,peace,happy,positive,thoughts,mind,thoughts,ease,control,hands,relax,sit,comfort,rest,sleep,rest,bed,rest,pillow,comfort,meditate,yoga,exercise,physical,touch,excitement,happy,smile,expression,knowledge,mind,brain,smart,study,read,book,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,water,lake,boat,ship,waves,swim,beach,sand,towel,sun,bicycle,car,parking,lot,trees,animals,bird,fish,fishing,suntan,sky,cloud,rain,wind,kite,string,handle,toy,plastic,metal,wood,fire,camping,tent,bear,vacation,home,work,play,sit,run,shoes,marathon,boston,beer,mug,cup,glass,bar,alcohol,vodka,juice,pool,jukebox,karaoke,sing,laugh,read,book,bookcase,room,shelves,magazine,newspaper,comic,batman,superman,spider-man,movie,theater,screen,projection,popcorn,candy,snacks,groceries,food,breakfast,lunch,dinner,snack,sleep,bed,blanket,sheet,cat,dog,hamster,parrot,rabbit,chipmunk,otter,sea,whale,shark,ocean,turtle,wax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,body,book,coloring,child,young,school,chalk,dust,clean,scrub,shower,wet,water,boil,cook,pan,saute,mix,combine,total,math,book,read,kindle,download,appear,leave,wonder,song,sing,play,relax,rest,watch,view,netflix,hulu,prime,hbonow,stream,pay,cost,bill,budget,tally,subtract,add,multiply,divide,change,cell,mitrochondria,dna,rna,truecrime,documentary,movie,michaelmoore,fat,slob,belt,drink,lougrant,mary,murray,wjm,ted,weather,andy,sueellen,rhoda,nyc,bigapple,travel,fly,plane,board,wait,chair,rug,vacuum,sweep,swiffer,target,shop,red,cart,fill,supermarket,conveyer,assembly,economics,wig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,water,creek,nature,park,forest,tree,squirrel,bird,spring,flower,grass,earth,grave,funeral,murder,crime,criminal,investigation,police,jail,court,justice,prison,inmate,guard,penitentiary,cellblock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,body,yogurt,trousers,sand,dress,snake,end,dope,exam,mind,driver,river,rest,telephone,eye,escape,event,truck,kind,dresser,roast,thumb,body,youth,head,debris,surface,envelope,enrichment,treat,thinker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
