ID,cue,word 0,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122,word 123,word 124,word 125,word 126,word 127,word 128,word 129,word 130,word 131,word 132,word 133,word 134,word 135,word 136,word 137,word 138,word 139,word 140,word 141
1000,,college,collage,carriage,carp,carry,congac,cord,cram,careen,canteen,cork,carriage,center,cyst,clover,canter,comb,cool,crack,clack,clambour,cartilage,clog,croc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,,banana,split,cat,yogurt,granola,spoon,milk,lick,cereal,bar,grass,tree,green,pupils,sweatshirt,clock,tick,tock,flowers,rug,alert,giving,for,to,love,lack,list,limb,trap,tarp,wall,white,gain,goal,jewel,necklace,grease,cool,calm,coaster,gym,muscle,lift,grasp,purse,pail,sandcastle,mirror,apple,bite,crimp,cramp,chisle,warm,roller,computer,headphones,camera,nose,uvula,intenstines,seat,glass,cup,mug,tea,coffee,sugar,cake,bread,muffin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,,soda,trumpet,guitar,violin,skyscraper,diver,teacher,school,book,bell,walkie-talkie,tile,fan,steak,banana,soup,milkshake,birdfeeder,skunk,horse,cow,giraffe,airplane,pilot,cook,lumberjack,rollercoaster,elevator,staircase,artist,carpenter,pictureframe,vitamins,orange,apple,watermelon,mushroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,,dentist,amy,pictures,doctor,chilly,seat,peppers,dave,volume,straw,cup,bank,post,tiger,ledger,fan,airconditioner,lazy,receipt,basket,modem,wires,Ferrari,chain,ring,tape,ice,rest,adjust,color,bleak,rubber,tree,japan,alf,dictionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,,chair,breakfast,stare,phone,rung,folk,coffee,beer,fishing,freinds,potato,drink,camping,drive,sleep,body,naked,pulled,water,backtohome,difficult,legs,breast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,,balloon,sky,birds,clouds,mountains,flowers,grass,brook,canoe,sailing,barge,oil,tanker,ship,commerce,canal,trucks,shipping,goods,pricing,wholesale,suppliers,company,ceo,executive,workers,desk,lights,office,paper,printer,computer,elevator,desk,camera,plants,note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,,library,books,hotdogs,hamburgers,buns,nuns,football,thanksgiving,thursday,weekend,saturday,baseball,hit,homerun,soccer,badminton,hunger,sesame,chicken,coal,ketchup,mustard,sauce,spice,collection,hockey,urban,hotel,room,bed,sofa,captain,cheer,elementary,lacrosse,field,arena,staduim,rude,fight,rare,special,highly,temper,temple,summer,toner,ink,rare,top,bottom,empty,hostile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,,cotton,ball,red,blue,purple,green,magenta,yellow,fuscia,lavender,orange,hues,gears,chain,bicycle,motorbike,trail,trains,planes,automobiles,Christmas,Kwanzaa,gears,guns,war,freedom,hate,love,spirits,taste,unwind,heels,blouse,hangers,pool,hatchet,collar,stains,dirty,ants,lions,tiger,bear,cheetah,moose,goose,snakes,frogs,whale,dolphin,otter,mongoose,canon,ball,wreck,saw,lightning,thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,,geek,raisin,jumper,cat,cold,air,niece,cabin,umbrella,quilt,yarn,habit,grouchy,sleepy,ball,plot,comment,graft,survey,lesson,waling,walking,classes,medicine,pain,lights,water,balloon,fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,,swift,food,go,late,early,nee,need,help,under,car,back,truck,parked,drive,go,relay,wait,done,finished,bad,scared,anxious,mad,they,fine,understand,learn,school,student,gun,shoot,policy,plan,planned,parenthood,health,kids,adults,justice,together,unite,rally,motown,music,1968,chicago,mlk,aretha,rock,stone,pebble,penguin,cat,text,animal,rug,happy,laugh,fun,pastry,drink,coffee,eat,box,green,pink,cow,yogurt,love,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,,water,drinking,swimming,playing,watching,eating,cooking,cleaning,family,pets,wife,mother,bed,happy,sad,asleep,dreaming,ru,rug,thinking,crying,frustrated,angry,unhappy,miserable,school,studying,meals,fun,television,phone,computer,stove,oven,refridgerator,pantry,cleaning,organize,washing,watching,mirror,appearance,looks,shelf,book,reading,learning,studying,friends,lunch,together,alone,lonely,sad,isolated,alone,holiday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
