ID,cue,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122,word 123,word 124,word 125,word 126,word 127,word 128,word 129,word 130,word 131,word 132,word 133,word 134,word 135,word 136,word 137,word 138,word 139,word 140,word 141,word 142,word 143,word 144,word 145,word 146,word 147,word 148,word 149,word 150
1000,body,head,shoulders,shampoo,hair,brush,horse,saddle,minecraft,block,road,car,seat,chair,sit,stand,walk,run,marathon,medal,olimpics,snowboarding,ice,coffee,tea,dinner,food,burger,chips,fish,sea,shark,dolphin,water,rain,umbrella,drip,pippette,science,school,maths,numbers,elevator,up,disney,childrens,happy,sad,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1001,body,mind,brain,worm,earth,round,sphere,shape,maths,numbers,letters,words,book,library,dust,bunny,rabbit,fluffy,clouds,sky,birds,fly,plane,metal,grey,hair,curly,chips,golden,money,rich,dark,night,moon,stars,white,dove,olve,oil,grease,wash,soap,suds,shower,bath,bubble,blowing,mouth,teeth,tounge,taste,sour,lemon,lime,green,grass,tree,bark,cinnamon,spice,chilli,heat,warm,cold,ice,igloo,arctic,penguin,polarbear,bear,honeybear,poohbear,yellow,sun,heat,fire,fireplace,coal,christmas,candycane,mint,toothpaste,mouthwash,blue,sea,fish,dolphin,whale,krill,shrimp,scampi,batter,onion,cry,sad,happy,laugh,giggle,children,small,ant,team,sports,football,goal,dream, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1002,body,head,hat,glove,scarf,wool,knitting,crochet,hook,captain,ship,dock,men,women,mother,baby,bottle,milk,dairy,farm,cows,sheep,wool,jumper,cardigan,warm,cosy,comfortable,good,bad,unpleasant,suffering,poverty,starvation,food,eat,drink,glass,cup,tea,coffee,sugar,sweet,cake,bake,cook,,,,spoon,fork,knife,cutlery,utensils,kitchen,house,home,heart,lungs,breathe,air,water,sea,sail,boat,paddle,pool,swim,exercise,run,jog,fit,healthy,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1003,body,spirit,self,mind,will,society,individual,purpose,evolution,growth,improvement,change,gains,losses,attitude,desire,mindset,goals,work,effort,time,pain,heaing,expansion,enlargement,greater,improvement,perfection,unachievable,inspiring,soul,feelings,drawn,magnetism,charisma,light,truth,fulfillment,satisfaction,satiety,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1004,body,mind,soul,yoga,exercise,fitness,gym,tired,slee,nap,rest,relax,bubblebath,water,bills,money,paper,tree,nature,oxygen,globalwarming,climatechange,donaldtrump,orange,apple,fruit,vegetables,brusselsprouts,christmas,jesus,god,church,sunday,weekends,weekday,month,year,time,clock,school,classroom,maths,orangebook,squares,shapes,triangles,piano,ivory,dominoes,pizza,papajohns,,,leamington,river,water,fish,rocks,ariel,annoying,me,fat,meat,beef,cows,grass,dead,graves,funerals,mangos,family,big,tall,huge,giants,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1006,body,arm,leg,toe,rag,cloth,wipe,side,dish,wash,clean,soap,sink,toilet,bath,window,sky,sea,beach,pebble,penguin,zoo,lion,tiger,stripes,spots,ill,well,water,squash,ball,bounce,jump,skip,rope,tie,shirt,trousers,shoes,socks,wool,knit,needle,blood,doctor,hospital,sick,chunk,chocolate,cookie,sweet,sour,lemon,lime,green,purple,orange,blue,berry,raspberry,tongue,teeth,pearl,oyster,clam,sea,bird,fly,plane,mask,hide,seek,find,look,see,hear,taste,salt,pepper,sneeze,cough,cry,tissue,paper,pen,pencil,crayon,colour,write,scribble,mess,mistake,error,computer,mouse,keyboard,type,catagory,set,jelly,wobble,fall,land,scrape,hurt,bleed,pain,plaster,wall,build,brick,tower,tall,short,wide,thin,stick,tree,lea, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1007,body,human,skeleton,bones,hard,soft,pillow,feather,duch,quack,duckling,ugly,beautiful,makeup,girls,boys,football,ball,sport,games,fun,jolly,santa,christmas,tree,forest,leaves,autumn,rain,wet,tap,kitchen,room,house,bricks,rough,dogs,cats,mice,small,big,tree,woods,stick,insect,bugs,bugslife,films,disney,micky,mouse,goofy,teeth,mouth,dentist,scary,halloween,october,autumn,leaves,crunch,cereal,milk,cold,fridge,fruit,strawberry,apple,grapes,wine,alocohol,cidre,beer,puc,pub,food,eating,dinner,evening,dark,stars,moon,planets,mars,earth,science,nasa,america,washington,whitehouse,president,priminister,england,royals,queen,prince,princess,disney,stories,books,pictures,drawings,art,painting,paint,colours,red,yellow,green,traffic,cars,wheels,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1009,body,hair,long,life,love,family,kindness,people,busy,non-covid,happiness,sunshine,beach,travel,memories,enjoyment,laugh,freindship,beers,drink,water,essential,future,plans,youth,fearless,admirable,quality,sports,play,fitness,heart,desire,strength,sweat,heat,sun,summer,gone,missing,milk,vegan,cheese,burger,bun,mcdonalds,cheap,asia,hustle,bustle,excitment,nerves,anixeity, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1010,body,wash,hands,feet,yards,football,sports,games,fun,friends,happy,food,drink,water,swimming,ocean,clouds,blue,eyes,watching,television,shows,actors,hollywood,california,states,countries,world,space,universe,god,religion,conflict,war,peace,harmony,music,piano,keys,typing,documents,contracts,property,houses,homes,families,parents,children,life,death,nature,animals,zoos,fields,grass,weeds,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1011,water,ice,lolly,summer,sun,holiday,airplane,flying,sky,rain,umbrella,wet,towel,bath,soap,wash,face,makeup,mascara,beauty,woman,man,marriage,church,vicar,bible,book,read,eyes,glasses,optician,test,exam,writing,author,job,work,salary,money,cash,bank,safe,locked,key,open,close,finish,task,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
