ID,cue,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122,word 123,word 124,word 125,word 126,word 127,word 128,word 129,word 130,word 131,word 132,word 133,word 134,word 135,word 136,word 137,word 138,word 139,word 140,word 141,word 142,word 143,word 144,word 145,word 146,word 147,word 148,word 149,word 150
2000,water,drink,liquid,solid,hard,rock,cliff,dover,white,black,night,dark,knight,princess,tower,defense,football,sports,olympics,corruption,russia,tea,busicuits,dunking,pool,holiday,spain,bulls,horns,africa,poverty,class,wealth,money,success,happiness,family,parents,home,childhood,school,friends,fun,reading,books,fiction,fantasy,dragons,fire, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2001,body,part,boil,spot,light,house,marten,kemp,krays,fish,line,out,door,frame,picture,perfect,shape,up,stairs,ladder,tights,ballet,shoes,sandals,beach,towel,bale,hay,straw,hat,bowler,cricket,bat,ball,foot,locker,room,bedroom,sleep,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2003,body,head,face,skin,acne,medication,doctors,stethoscopes,heart,music,celtic,plaid,bagpipes,pipeband,drum,church,pastor,tie,fish,sea,current,water,liquid,atoms,biology,animals,rabbit,chewing,fork,utensil,fork,salad,tomatoes,garden,weeds,dandelion,blender,explosion,bomb,blindspot,dramatic,thrilling,movie,action,start,go,begin,survey,quiz,points,golf,hot,beach,sand,towel,shower,shampoo,flowers,roses,gift,birthday,party,streamers,yellow,butterfly,monarch,ruler,math,dad,fix,problem,solution,liquid,drink,yogurt,healthy,greens,sister,school,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2005,body,head,crown,hat,gloves,scarf,winter,snow,rain,clouds,sky,sun,trees,forest,hiking,exercise,fitness,health,doctor,nurse,aid,welfare,poverty,housing,mortgage,finance,education,school,teacher,learning,mental,brain,skull,skeleton,halloween,holidays,gatherings,family,friendship,love,hate,violence,guns,war,politics,president,power,electricity,computer,monitor,pixels,smartphone,technology,future,planning,gratification,discipline,parents,children,babies,pregnancy,cycle,rhythm,music,artist,creativity,exploration,travel,airplane,train,countryside,farmland,cows,chickens,dinner,groceries,supermarket,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2007,water,board,train,thought,experiment,science,fiction,stranger,danger,caution,safe,keeping,up,down,out,about,turn,off,on,switch,flick,toggle,control,freak,out,about,concerning,worrying,scary,story,book,read,study,course,harsh,environment,disaster,zone,area,space,jam,porridge,oats,wild,animal,farm,boy,racer,speed,fast,quick,hurry,rush,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2009,water,drink,cup,mug,idiot,fool,joker,laugh,joke,riddle,rhyme,poem,stanza,verse,literature,english,nation,state,country,government,politics,corruption,fraud,crime,police,authorities,public,people,human,animals,plants,trees,rainforest,environment,green,colour,light,dark,dim,unintelligent,stupid,rough,jagged,stones,beach,sand,holida, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2010,body,mind,soul,music,guitar,string,vibrate,phone,communication,listening,relationship,marriage,commitment,quitting,weakness,muscle,body,flesh,blood,red,heat,sun,planet,galaxy,spaceship,alien,unknown,fear,spiders,insect,ants,work,job,mone, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2011,water,drink,coke,unhealthy,chocolates,sweet,fruits,healthy,greens,nature,peaceful,sleep,rest,home,family,blood,relatives,toxic,poison,snake,animals,dogs,faithful,loyal,trust,communication,important,time,precious,sacred,religion,questionable,doubts,thoughts,unending,trail,words,tabs,close,shutdown,disappear,vanish,internet,harmful,friends,toxic,unnecessary,clutter,waste,clothes,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2015,water,sea,sharks,fish,ocean,california,la,city,lond,home,westgate,beach,long,road,motorway,kent,home,place,value,money,earning,reward,behaviour,puppy,bear,snuggle,sleep,wife,boss,teenager,school,girls,pretty,skirt,mouse,sammy,tango,kitten,baby,niblings,cute,girlfriend,spanish,loss,redemption,smoking,quitting,grumpy,mum,home,comfortable,safe,,house,growing,sunshine,summer,reading,decking,smoking,regret,julia,home,netflix,binge,skins,mindhunter,weed,regret,love,battlefield,eighties,born,september,sunshine,warmth,coronavirus,home,sleeping,bear,malinois,mistake,love,safety,tiredness,sunderland,distance,absence,heart,normality,teaching,progress,futu, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2016,water,wet,ice,cold,warm,drink,life,,,pool,clean,dirty,tap,bucket,shower,rain,chemicals,bottle,mountain,river,sea,beach,,,,,,,summer,winter,snow,water,,,,,,,,,ice,cold,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
