ID,cue,word 0,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122,word 123,word 124
1001,,earth,planet,space,moon,sea,ocean,lake,home,house,garage,car,key,lock,door,entrance,grand,theft,crime,gun,ammo,shoot,arrow,bow,hair,scissors,cut,burn,fire,car,boat,water,fountain,wish,sky,star,gold,silver,coins,money,dollar,change,jiggle,fold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,,horse,racing,fun,gambling,excitement,challenge,risk,reward,thrills,chances,rooting,fans,crowd,noise,decision,photo,judges,official,payoff,winner,prize,photo,celebration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,,cloud,sun,sky,bird,tree,leaf,wood,forest,squirrel,acorn,dirt,garden,flower,petal,bee,honey,sweet,dog,sleep,comfort,love,happy,smile,sigh,friendly,tired,bed,comfort,warm,wind,air,clean,breathe,sigh,happy,smile,think,wonder,travel,new,exciting,curious,learning,Prague,chocolate,streets,music,food,pizza,cheese,crust,warm,tasty,happy,tired,nap,couch,tv,watch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,,HELLO,GOOD,BYE,NIGHT,TIME,STARS,SHINE,SUN,LOUIS,HARRY,FUN,SAD,MUSIC,HEALING,THERAPY,TUESDAY,CRY,HARD,DAD,ROUGH,HOPE,CALIFORNIA,SUNNY,TODAY,EAT,SLEEP,WORKOUT,SWEAT,GROSS,HEAVY,STRONGER,KRISTEN,PROUD,KIDS,MONDAY,ALONE,DIFFICULT,SHORT,HOME,LACEY,LOVE,TOGETHER,FOREVER,MOVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,,clown,circus,animals,ringleader,performance,acting,movie,story,comedy,drama,thriller,scary,satirical,tropes,common,characters,date,coffee,dinner,meal,apartment,marriage,kids,school,camera,selfies,facebook,social,media,instagram,snapchat,twitter,arguements,debates,political,president,senator,congress,republican,democrat,marketing,presentation,powerpoint,excel,spreadsheet,work,effort,office,computer,clock,time,wasted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,,book,worm,animal,natural,world,globe,travel,photography,capture,freedom,feeling,emotion,mind,human,body,movement,breath,mindfulness,peace,light,love,romance,relationship,connection,soul,spiritual,home,personal,preference,like,positive,happy,joy,smile,laughter,vibration,reverbrate,echo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,,the,world,clear,paint,blue,lamp,personal,clouds,up,wet,rain,fence,ice,spoon,silver,agate,mercury,ball,lens,oil,grass,glean,winnow,apple,team,black,tea,tallow,yellow,mallow,mellow,fellow,greeting,meeting,seeking,seer,orb,ponder,obfuscate,mode,live,secure,safe,glass,rock,store,oddity,curio,manifesto,mine,dungeon,antiquarian,module,gear,chain,campaign,frost,adipose,figures,tree,multitude,leaves,plethora,abundance,mouse,tiny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,,Crocodile,River,Fish,Net,Scubadiving,exploration,discovery,boundless,hope,life,cycle,beginning,end,same,risk,reward,prize,pride,stride,new,old,unity,peace,anger,violence,destruction,absolution,ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,,Cat,Dog,Bone,Skeleton,Science,Biology,Frogs,Flies,Bugspray,Smell,Pie,Fruit,Blueberries,Muffins,Dessert,IceCream,,Cold,Snowflake,Winter,Christmas,Santa,Gifts,Family,Happy,Smile,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,,farm,hill,typewriter,cow,puppy,papasan,mouse,cellphone,hamburger,macaroni ,blanket,jig,dresser,waffle,suit,wall,ocean,tree,laptop,keys,earing,banjo,wisk,bacon,socks,jam,bread,sing,top,christmas,laugh,funny,bite,wail,nose,plop,run,nun,mom,maid,fa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
