ID,cue,word 0,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122,word 123,word 124,word 125,word 126,word 127,word 128,word 129,word 130,word 131,word 132,word 133,word 134,word 135,word 136,word 137,word 138,word 139,word 140,word 141,word 142,word 143,word 144,word 145,word 146,word 147,word 148,word 149,word 150,word 151,word 152,word 153,word 154,word 155,word 156,word 157,word 158,word 159,word 160,word 161,word 162,word 163,word 164,word 165,word 166,word 167,word 168,word 169,word 170,word 171
1075,,sad,cruel,horrible,angry,fury,leave,alone,shut,slam,fist,cry,sit,hide,greif,awful,cough,choke,teard,tissues,sadness,gray,clouds,dark,rain,drip,sound,soothe,calm,noise,purr,relax,breathe,bathe,water,clean,fresh,sigh,breath,yawn,sware,aware,awake,dream,together,hands,park,field,visit,sun,birds,shade,blanket,book,noon,end,leave,aware,alone,okay,fine,ally,friend,talk,phone,text,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,,tragic,sad,death,ground,grass,tress,trees,cemetary,walk,sky,blue,sun,warm,trees,life,think,walk,friends,family,talk,morn,dog,cuddle,console,help,recover,sleep,think,type,work,computer,exercise,call,phone,shop,list,drink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192,,sad,depressing,lonely,shocking,man,friend,loss,devastating,lover,loss,grief,family,future,empty,sadness,surprise,heart,doctor,hospital,emergency,fear,anxiety,health,loss,death,sadness,loss,gone,disappear,forever,sad,family,health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260,,life,death,morbid,medical,heart,condition,rocks,neighbor,yard,bushes,trees,grass,forest,fence,sidewalk,street,house,garage,yard,cars,busses,signs,people,buildings,stores,food,snacks,watermelon,burgers,fries,soda,ice,cold,straw,fresh,crisp,cold,heat,fire,smoke,bomb,july,summer,fall,winter,holiday,vacation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269,,sad,relationship,internet,depression,death,sudden,happiness,sadness,long,distance,man,same,companion,morgue,phone,health,heart,surprise,confused,travel,alone,plane,poor,emotions,story,internet,distance,unknown,color,life,upset,eyes,table,police,chance,melancholy,together,lips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,,cat,fish,dead,man,old,weird,strong,smell,bad,death,rangd,fool,chain,talk,sad,rot,morgue,chris,secret,knock,job,visa,card,credit,pool,swim,match,victor,open,pop,lap,mark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1271,,gloomy,sad,happy,silly,string,pull,yank,tug,bug,tiny,large,man,woman,girl,boy,brother,sister,female,male,human,monkey,zoo,panda,black,white,nothing,empty,void,alone,together,partner,love,heart,red,pink,lace,wedding,kiss,lips,teeth,cavity,dentist,drill,construction,house,wood,splinter,tweezers,silvr,gold,necklace,gift,romantic,lover,sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272,,dispair,quit,fight,lonely,smile,chase,alone,terrible,angry,move,use,take,shame,fad,bad,glad,clear,home,phone,size,share,wear,world,scare,moon,fun,scam,train,seats,wipe,fan,bland,rake,carousel,climb,fall,jab,block,slam,cave,darkness,light,wound,sang,jam,flight,cloudy,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1273,,morbid,death,dies,dyes,tie-dye,hippie,seventies,show,tell,told,gold,mine,yours,his,boy,girl,flower,grow,garden,green,grass,mow,cut,hair,do,make,keep,plan,list,item,grocery,food,pizza,pepperoni,meat,sad,cry,tears,wet,moist,wipes,baby,bottle,milk,utter,say,state,country,place,put,table,legs,feet,shoes,tie,man,male,gender,sex,love,marry,ring,doorbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1274,,wow,depressing,ironic,dudes,necrophilia,weird,lol,emo,music,xmas,family,okay,weird,talk,phone,call,maybe,unlikely,tomorrow,funeral,long,day,wear,what,dress,shirt,and,henley,is,that,a,look,dont,think,in,single,words,alpaca,alfalfa,brussel,sprouts,chinese,thai,india,mexico,flaggelation,spelling,maybe,game,long,quality,answers,avon,sales,doors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
